213.538;35.963;1094.838;96.469;280.053;206.956;449.776;110.554;355.449;384.071;88.997;79.252;154.049;448.061;214.777;292.216;164.159;873.161;7394.687;8617.382;555.998;372.561;205.752;237.34;548.142;170.837;762.963;236.251;171.791;728.554;626.683;257.219;286.668;81.278;221.021;159.5;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13.723;0.001;8.189;1.267;3.428;0.808;2.087;1.13;3.073;3.326;2.501;1.234;1.167;4.626;2.856;2.967;11.471;6.696;163.179;28.132;11.809;479.157;79.003;74.246;324.109;25.686;376.001;98.496;135.168;235.967;112.561;75.822;36.368;22.263;88.887;46.086;0
2.699;0.621;17.377;3.058;5.528;5.509;9.601;5.461;5.057;7.699;3.509;4.022;8.426;14.199;7.889;14.912;9.859;39.096;391.325;58.871;34.255;31.808;644.432;104.388;398.38;29.129;190.187;62.85;23.435;178.169;73.234;32.848;37.83;6.485;36.208;18.912;0
0.1;0.146;48.002;5.846;14.156;18.827;22.875;8.26;13.863;17.394;34.998;7.518;14.475;30.107;17.608;32.711;18.757;63.153;241.864;52.018;15.661;61.444;86.708;1077.231;547.017;40.237;164.699;55.716;25.157;142.601;87.513;12.358;20.869;6.223;18.983;23.289;0
64.104;3.798;115.639;9.419;22.835;13.004;25.916;10.218;15.619;30.507;8.572;6.5;13.814;34.333;17.103;26.242;39.012;192.449;672.763;222.387;60.173;36.581;55.565;25.571;1766.636;674.218;342.486;38.443;37.687;140.901;133.436;23.99;61.893;9.861;19.683;45.656;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
97.716;13.721;429.093;31.138;116.912;76.422;120.632;80.89;168.317;235.929;84.961;56.957;130.227;397.254;151.616;159.768;129.886;1776.159;1572.01;572.745;262.359;215.41;160.682;343.207;558.403;512.667;6352.153;408.911;170.977;1239.424;410.27;112.237;144.701;65.852;136.952;140.223;0
0;0;0;0;0;0;0;0;0;0;0.01;0;0;0;2.55;0;0;1.087;0;0.01;0;0.019;0;1.731;0;0.087;1.106;534.866;1.347;10.168;0;0.057;0;0;0;0;0
0.202;3.165;681.718;54.143;69.197;25.483;297.107;199.045;25.281;25.846;26.091;19.657;12.854;251.855;107.713;21.146;30.454;78.024;1028.956;103.696;46.322;110.048;173.015;104.781;315.867;16.075;77.861;19.369;396.843;178.054;103.532;32.858;91.715;15.779;138.979;18.411;0
131.664;27.068;951.328;48.725;203.445;197.995;214.805;111.002;331.485;587.88;62.386;72.118;192.541;416.04;215.809;544.628;462.29;1723.878;5647.948;2126.822;378.25;585.99;763.181;785.637;3071.532;589.483;4040.108;1760.279;964.423;5190.463;1671.249;961.302;784.108;481.695;453.982;778.398;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0.003;0.01;0.927;0.092;0.124;0.298;0.252;0.053;0.159;0.429;0.056;0.062;0.159;0.432;0.221;0.329;0.263;1.408;1.663;1.35;1.625;0.309;0.394;0.595;2.661;0.259;0.73;0.937;0.463;2.623;2.069;0.142;42.782;2.34;0.329;0.093;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0.042;0;0;0.009;0.43;0.492;0.013;0.5;0.487;1.096;0.012;0.009;0.009;0;0.023;1.095;2.33;0.772;3.735;0.093;0.735;0.216;0;2.983;0.777;8.207;7.584;3.23;13.059;18.477;28.041;15.953;0.301;6.841;231.305;17.812;0
1.025;0;24.193;0.754;2.397;4.666;6.626;2.168;6.773;7.897;1.181;1.023;4.057;8.296;4.17;26.001;1.958;49.038;69.164;47.99;1.69;9.157;11.663;14.848;0;3.759;29.043;7.225;10.891;63.891;0;2.78;0.575;4.827;4.184;178.95;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
