FONC1et2;LIBELLE;NiveauCOICOP;Q1;Q2;Q3;Q4;Q5;Moins_de_30_ans;30-39_ans;40-49_ans;50-59_ans;60-69_ans;70_ans_et_plus;Personne_seule;Famille_Monoparentale;Couples_sans_enfant;Couples_1_enfant;Couples_2_enfants;Couples_3_enfants_et_plus;Agriculteurs;Artisans,_commerc,_chefs_d'entreprises_et_professions_liberales;Cadres;Professions_intermediaires;Employes;Ouvriers_;Ensemble_actifs;Retraites_Agriculteurs;Retraites_autres_independants;Retraites_cadres;Retraites_professions_intermediaires;Retraites_employes;Retraites_ouvriers;Ensemble_retraites;Autres_inactifs;1_personne_seule_agee_de_moins_de_65_ans;1_personne_seule_agee_de_65_ans_ou_plus;1_adulte,_avec_au_moins_1_enfant_vivant_dans_le_logement;2_adultes,_sans_enfant_vivant_dans_le_logement,_dont_les_2_adultes_ont_moins_de_65_ans;2_adultes,_sans_enfant_vivant_dans_le_logement_dont_au_moins_un_des_adultes_a_65_ans_ou_plus;2_adultes,_avec_1_ou_2_enfants_vivant_dans_le_logement;2_adultes,_avec_3_enfants_ou_+__vivant_dans_le_logement;Autres_menages
61;Médicaments et autres produits pharmaceutiques, appareils et matériels thérapeutiques;2;0.141050215;0.178856314;0.187581128;0.212739672;0.279772671;0.060872601;0.14901641;0.197235297;0.184684251;0.185948318;0.222243122;0.257564052;0.090112871;0.345860729;0.11967926;0.134514231;0.052268858;0.009775737;0.060907954;0.148948505;0.140284473;0.101527232;0.116064141;0.577508042;0.016736473;0.039887892;0.080111503;0.07920422;0.086249824;0.097964825;0.400154735;0.022337222;0.126398648;0.109170662;0.07186398;0.147208157;0.197671028;0.23734829;0.06010117;0.050238065
62;Médecine non hospitalière et services paramédicaux;2;0.113117814;0.172944982;0.206348393;0.25021026;0.25737855;0.058773517;0.181883731;0.237797995;0.164085445;0.161593277;0.195866035;0.229679781;0.09240071;0.314776829;0.129776723;0.16412404;0.069241917;0.011393054;0.062097023;0.167711661;0.153106437;0.098203317;0.139874714;0.632386207;0.013437878;0.04746571;0.0617359;0.076074646;0.058897593;0.089836682;0.347448408;0.020165385;0.115527723;0.09188459;0.073271945;0.140840955;0.17347134;0.265704637;0.08107065;0.05822816
63;Services hospitaliers;2;0.06748016;0.205315966;0.202918585;0.18789989;0.336385398;0.071891166;0.246325584;0.226971983;0.158230588;0.109744346;0.186836332;0.24383061;0.095241824;0.304073414;0.11210826;0.163953507;0.080792385;0.010700044;0.159562345;0.104813483;0.156983427;0.135132224;0.143519681;0.710711204;0.007827794;0.021238398;0.05442142;0.073943453;0.030214802;0.090576033;0.278221901;0.011066895;0.127957369;0.093311126;0.082697266;0.17299571;0.116218331;0.253557549;0.099675978;0.053586671
7;Transport;1;0.108324382;0.159546312;0.187200092;0.241602345;0.303326868;0.081749183;0.177456308;0.229645776;0.227908349;0.183855069;0.099385315;0.212288213;0.083246172;0.329572998;0.139036021;0.169976694;0.065879903;0.014445183;0.085511538;0.161746747;0.188194528;0.108888934;0.164999126;0.723786058;0.007231894;0.037246509;0.058998789;0.060416003;0.037070543;0.059108438;0.260072176;0.016141767;0.145070418;0.046127021;0.066924936;0.193319876;0.121161875;0.291874941;0.074577884;0.06094305
71;Achats de véhicules;2;0.062449013;0.143606539;0.185017897;0.245569942;0.363356608;0.075292276;0.18477624;0.234241779;0.220702222;0.193796358;0.091191125;0.178346566;0.065734081;0.356111793;0.153161306;0.184946115;0.061700138;0.017467333;0.119205507;0.149994316;0.183147136;0.103223843;0.152194641;0.725232775;0.002801663;0.041654089;0.062126919;0.070612546;0.035770784;0.053735291;0.266701292;0.008065932;0.121043853;0.04133604;0.048497211;0.213262262;0.127871785;0.32663444;0.069932566;0.051421844
72;Dépenses d'utilisation de véhicules;2;0.115238059;0.168628723;0.204975064;0.244359889;0.266798265;0.072396134;0.177040527;0.227113304;0.23591436;0.17985549;0.107680186;0.207806012;0.080603185;0.328493167;0.144746622;0.17598752;0.062363493;0.014192132;0.076378369;0.137536979;0.191571337;0.106787125;0.185603874;0.712069816;0.011090527;0.037559693;0.055424335;0.059118062;0.039689445;0.070841689;0.273723751;0.014206433;0.139271455;0.047701867;0.066665993;0.183864463;0.127825883;0.303393254;0.07024033;0.061036756
73;Services de transports;2;0.150065141;0.14113351;0.13857757;0.201444975;0.368778804;0.111986125;0.18609905;0.236488575;0.21121906;0.166048921;0.088158269;0.283206039;0.105860095;0.273972487;0.126322811;0.1345111;0.076127468;0.005819725;0.09453335;0.248522973;0.189381007;0.107860725;0.114131524;0.760249304;0.001537259;0.024960566;0.066424128;0.048175464;0.030948586;0.036083442;0.208129444;0.031621252;0.200113059;0.054021412;0.085208072;0.174473066;0.088357031;0.243046912;0.087678269;0.067102179
8;Communications;1;0.170805719;0.188429824;0.192811128;0.211258334;0.236694995;0.098154657;0.190222985;0.224229621;0.202982822;0.158742717;0.125667197;0.275057576;0.116785048;0.276382552;0.129226559;0.139797637;0.062750628;0.014261008;0.080150274;0.130876549;0.171740709;0.132497694;0.173509095;0.70303533;0.008645998;0.029734055;0.049009174;0.059520278;0.055172506;0.068337613;0.270419624;0.026545046;0.169489798;0.080277931;0.091305409;0.165526938;0.106921838;0.25614281;0.070551068;0.059784207
9;Loisirs et culture;1;0.10778496;0.139635149;0.170436249;0.232298962;0.34984468;0.075028949;0.180038488;0.235695544;0.204764076;0.18233391;0.122139033;0.239903146;0.094542501;0.312196907;0.127101216;0.160603509;0.065652721;0.010914235;0.091003138;0.189142662;0.174585729;0.097636467;0.131727061;0.695009291;0.00816887;0.034185387;0.071660439;0.070533072;0.044327517;0.058182732;0.287058016;0.017932692;0.147070182;0.071782565;0.076412555;0.17385535;0.128813445;0.279247326;0.074651584;0.048166993
91;App. et acc. audio-visuels et informatiques;2;0.121334111;0.149587799;0.16344435;0.214227881;0.351405859;0.103674699;0.209722148;0.23496971;0.199558135;0.152579675;0.099495632;0.262135391;0.085518567;0.291946834;0.135068288;0.165024631;0.060306289;0.009519106;0.086604982;0.210795664;0.194345968;0.112029384;0.135222537;0.748517642;0.006556566;0.025853492;0.06204211;0.061222622;0.032129446;0.039943701;0.227747938;0.02373442;0.181952106;0.056030022;0.069244565;0.182991309;0.095998578;0.290956966;0.070214955;0.052611499
